x,y,z,Raw q1,q1,Raw q2,q2,Raw q3,q3,Raw q4,q4
137.5,0,0,2027,-1.624,2723,-59.624,2471,-37.448,851,96.79
137.5,0,0,2024,-1.888,2715,-58.92,2465,-36.92,839,93.31
137.5,0,0,2026,-1.712,2720,-59.36,2469,-37.272,846,95.34
150,0,0,2024,-1.888,2712,-58.656,2435,-34.28,835,92.15
162.5,0,0,2031,-1.272,2709,-58.392,2398,-31.024,825,89.25
175,0,0,2031,-1.272,2707,-58.216,2352,-26.976,807,84.03
187.5,0,0,2031,-1.272,2708,-58.304,2310,-23.28,795,80.55
200,0,0,2031,-1.272,2712,-58.656,2267,-19.496,784,77.36
212.5,0,0,2031,-1.272,2719,-59.272,2223,-15.624,772,73.88
225,0,0,2030,-1.36,2728,-60.064,2180,-11.84,766,72.14
237.5,0,0,2031,-1.272,2737,-60.856,2133,-7.704,755,68.95
250,0,0,2032,-1.184,2748,-61.824,2081,-3.128,746,66.34
262.5,0,0,2034,-1.008,2765,-63.32,2029,1.448,732,62.28
137.5,-12.5,0,1965,-7.08,2723,-59.624,2468,-37.184,852,97.08
150,-12.5,0,1966,-6.992,2715,-58.92,2431,-33.928,834,91.86
162.5,-12.5,0,1970,-6.64,2708,-58.304,2394,-30.672,820,87.8
175,-12.5,0,1978,-5.936,2705,-58.04,2352,-26.976,807,84.03
187.5,-12.5,0,1979,-5.848,2706,-58.128,2312,-23.456,797,81.13
200,-12.5,0,1984,-5.408,2713,-58.744,2270,-19.76,787,78.23
212.5,-12.5,0,1988,-5.056,2720,-59.36,2226,-15.888,775,74.75
225,-12.5,0,1990,-4.88,2728,-60.064,2179,-11.752,765,71.85
237.5,-12.5,0,1992,-4.704,2734,-60.592,2132,-7.616,756,69.24
250,-12.5,0,1992,-4.704,2748,-61.824,2085,-3.48,750,67.5
262.5,-12.5,0,1994,-4.528,2764,-63.232,2030,1.36,735,63.15
87.5,-137.5,0,1381,-58.472,2712,-58.656,2392,-30.496,822,88.38
87.5,-150,0,1352,-61.024,2712,-58.656,2357,-27.416,809,84.61
87.5,-162.5,0,1333,-62.696,2713,-58.744,2320,-24.16,800,82
87.5,-175,0,1318,-64.016,2716,-59.008,2282,-20.816,794,80.26
87.5,-187.5,0,1298,-65.776,2721,-59.448,2246,-17.648,783,77.07
87.5,-200,0,1282,-67.184,2729,-60.152,2201,-13.688,770,73.3
87.5,-212.5,0,1270,-68.24,2734,-60.592,2158,-9.904,763,71.27
87.5,-225,0,1255,-69.56,2747,-61.736,2112,-5.856,752,68.08
87.5,-237.5,0,1247,-70.264,2761,-62.968,2065,-1.72,742,65.18
87.5,-250,0,1234,-71.408,2774,-64.112,2016,2.592,732,62.28
