x,y,z,Raw q1,q1,Raw q2,q2,Raw q3,q3,Raw q4,q4
87.5,-137.5,-5,1381,-58.59340659,2713,-58.50549451,2392,-30.28571429,821,90.7625
87.5,-137.5,-5,1379,-58.76923077,2711,-58.32967033,2390,-30.10989011,825,91.9355
87.5,-137.5,-5,1383,-58.41758242,2712,-58.41758242,2393,-30.37362637,825,91.9355
87.5,-137.5,-5,1380,-58.68131868,2714,-58.59340659,2394,-30.46153846,825,91.9355
87.5,-137.5,-5,1380,-58.68131868,2710,-58.24175824,2391,-30.1978022,823,91.3490
87.5,-137.5,-5,1379,-58.76923077,2713,-58.50549451,2393,-30.37362637,821,90.7625
87.5,-137.5,-5,1382,-58.50549451,2712,-58.41758242,2391,-30.1978022,824,91.6422
87.5,-137.5,-5,1383,-58.41758242,2711,-58.32967033,2392,-30.28571429,823,91.3490
87.5,-137.5,-5,1381,-58.59340659,2714,-58.59340659,2393,-30.37362637,821,90.7625
87.5,-212.5,15,1272,-68.17582418,2672,-54.9010989,2191,-12.61538462,754,71.1144
87.5,-212.5,15,1270,-68.35164835,2672,-54.9010989,2189,-12.43956044,754,71.1144
87.5,-212.5,15,1269,-68.43956044,2674,-55.07692308,2192,-12.7032967,755,71.4076
87.5,-212.5,15,1272,-68.17582418,2672,-54.9010989,2192,-12.7032967,755,71.4076
87.5,-212.5,15,1271,-68.26373626,2673,-54.98901099,2190,-12.52747253,755,71.4076
87.5,-212.5,15,1273,-68.08791209,2674,-55.07692308,2191,-12.61538462,753,70.8211
87.5,-212.5,15,1272,-68.17582418,2671,-54.81318681,2193,-12.79120879,753,70.8211
87.5,-212.5,15,1272,-68.17582418,2671,-54.81318681,2191,-12.61538462,751,70.2346
87.5,-212.5,15,1272,-68.17582418,2670,-54.72527473,2193,-12.79120879,752,70.5279
87.5,-250,15,1236,-71.34065934,2716,-58.76923077,2045,0.21978022,721,61.4370
87.5,-250,15,1237,-71.25274725,2716,-58.76923077,2045,0.21978022,719,60.8504
87.5,-250,15,1237,-71.25274725,2719,-59.03296703,2042,0.483516484,723,62.0235
87.5,-250,15,1239,-71.07692308,2718,-58.94505495,2047,0.043956044,719,60.8504
87.5,-250,15,1237,-71.25274725,2714,-58.59340659,2044,0.307692308,722,61.7302
87.5,-250,15,1236,-71.34065934,2714,-58.59340659,2046,0.131868132,718,60.5572
87.5,-250,15,1239,-71.07692308,2715,-58.68131868,2046,0.131868132,719,60.8504
87.5,-250,15,1238,-71.16483516,2719,-59.03296703,2046,0.131868132,722,61.7302
87.5,-250,15,1239,-71.07692308,2718,-58.94505495,2048,-0.043956044,723,62.0235
87.5,-137.5,-5,1377,-58.94505495,2716,-58.76923077,2390,-30.10989011,825,91.9355
