x,y,z,Raw q1,q1 Calib,q1,Raw q2,q2 Calib,q2,Raw q3,q3 Calib,q3,Raw q4,q4 Calib,q4
175,-137.5,-5,1595,1600.5,-39.2967033,2734,2704.5,-57.75824176,2187,2155.5,-9.494505495,768,773.5,76.8328
175,-137.5,0,1596,1601.5,-39.20879121,2729,2713.5,-58.54945055,2194,2162.5,-10.10989011,763,768.5,75.3666
175,-137.5,15,1597,1602.5,-39.12087912,2664,2724.5,-59.51648352,2223,2191.5,-12.65934066,759,764.5,74.1935
175,-137.5,30,1601,1606.5,-38.76923077,2616,2741.5,-61.01098901,2244,2212.5,-14.50549451,752,757.5,72.1408
175,-137.5,45,1585,1590.5,-40.17582418,2567,2699.5,-57.31868132,2260,2228.5,-15.91208791,744,749.5,69.7947
175,-137.5,60,1588,1593.5,-39.91208791,2517,2691.5,-56.61538462,2270,2238.5,-16.79120879,732,737.5,66.2757
175,-137.5,75,1586,1591.5,-40.08791209,2475,2684.5,-56,2280,2248.5,-17.67032967,722,727.5,63.3431
175,-137.5,90,1585,1590.5,-40.17582418,2432,2681.5,-55.73626374,2278,2246.5,-17.49450549,704,709.5,58.0645
175,-137.5,105,1589,1594.5,-39.82417582,2396,2682.5,-55.82417582,2273,2241.5,-17.05494505,691,696.5,54.2522
137.5,0,-5,2027,2032.5,-1.318681319,2723,2689.5,-56.43956044,2471,2439.5,-34.46153846,851,856.5,101.1730
137.5,0,-5,2024,2029.5,-1.582417582,2715,2696.5,-57.05494505,2465,2433.5,-33.93406593,839,844.5,97.6540
137.5,0,-5,2026,2031.5,-1.406593407,2720,2704.5,-57.75824176,2469,2437.5,-34.28571429,846,851.5,99.7067
150,0,-5,2024,2029.5,-1.582417582,2712,2710.5,-58.28571429,2435,2403.5,-31.2967033,835,840.5,96.4809
162.5,0,-5,2031,2036.5,-0.967032967,2709,2724.5,-59.51648352,2398,2366.5,-28.04395604,825,830.5,93.5484
175,0,-5,2031,2036.5,-0.967032967,2707,2740.5,-60.92307692,2352,2320.5,-24,807,812.5,88.2698
187.5,0,-5,2031,2036.5,-0.967032967,2708,2688.5,-56.35164835,2310,2278.5,-20.30769231,795,800.5,84.7507
200,0,-5,2031,2036.5,-0.967032967,2712,2688.5,-56.35164835,2267,2235.5,-16.52747253,784,789.5,81.5249
212.5,0,-5,2031,2036.5,-0.967032967,2719,2689.5,-56.43956044,2223,2191.5,-12.65934066,772,777.5,78.0059
225,0,-5,2030,2035.5,-1.054945055,2728,2692.5,-56.7032967,2180,2148.5,-8.879120879,766,771.5,76.2463
237.5,0,-5,2031,2036.5,-0.967032967,2737,2697.5,-57.14285714,2133,2101.5,-4.747252747,755,760.5,73.0205
250,0,-5,2032,2037.5,-0.879120879,2748,2705.5,-57.84615385,2081,2049.5,-0.175824176,746,751.5,70.3812
262.5,0,-5,2034,2039.5,-0.703296703,2765,2710.5,-58.28571429,2029,1997.5,4.395604396,732,737.5,66.2757
137.5,-12.5,-5,1965,1970.5,-6.769230769,2723,2723.5,-59.42857143,2468,2436.5,-34.1978022,852,857.5,101.4663
150,-12.5,-5,1966,1971.5,-6.681318681,2715,2737.5,-60.65934066,2431,2399.5,-30.94505495,834,839.5,96.1877
162.5,-12.5,-5,1970,1975.5,-6.32967033,2708,2750.5,-61.8021978,2394,2362.5,-27.69230769,820,825.5,92.0821
175,-12.5,-5,1978,1983.5,-5.626373626,2705,2611.5,-49.58241758,2352,2320.5,-24,807,812.5,88.2698
187.5,-12.5,-5,1979,1984.5,-5.538461538,2706,2612.5,-49.67032967,2312,2280.5,-20.48351648,797,802.5,85.3372
200,-12.5,-5,1984,1989.5,-5.098901099,2713,2614.5,-49.84615385,2270,2238.5,-16.79120879,787,792.5,82.4047
212.5,-12.5,-5,1988,1993.5,-4.747252747,2720,2617.5,-50.10989011,2226,2194.5,-12.92307692,775,780.5,78.8856
225,-12.5,-5,1990,1995.5,-4.571428571,2728,2629.5,-51.16483516,2179,2147.5,-8.791208791,765,770.5,75.9531
237.5,-12.5,-5,1992,1997.5,-4.395604396,2734,2636.5,-51.78021978,2132,2100.5,-4.659340659,756,761.5,73.3138
250,-12.5,-5,1992,1997.5,-4.395604396,2748,2648.5,-52.83516484,2085,2053.5,-0.527472527,750,755.5,71.5543
262.5,-12.5,-5,1994,1999.5,-4.21978022,2764,2659.5,-53.8021978,2030,1998.5,4.307692308,735,740.5,67.1554
87.5,-137.5,-5,1381,1386.5,-58.10989011,2712,2676.5,-55.2967033,2392,2360.5,-27.51648352,822,827.5,92.6686
